assembly,ncbi,fasta,gff,fastq,taxid
Mycoplasmoides_fastidiosum,GCF_024498275.1,,,,1245
Mycoplasmoides_gallisepticum,GCF_017654545.1,,,,1245
Mycoplasmoides_pneumoniae,GCF_000733995.1,,,,1245
Mycoplasmoides_genitalium,GCF_000027325.1,,,,
